,to_cbsa_info_CBSA Title,Total Perm,Total Temp,all_moves
1,"San Jose-Sunnyvale-Santa Clara, CA",17049,1487,18536
2,"Los Angeles-Long Beach-Anaheim, CA",14209,2070,16279
3,"Sacramento-Roseville-Folsom, CA",12953,876,13829
4,"Stockton, CA",6833,161,6994
5,"San Diego-Chula Vista-Carlsbad, CA",5434,875,6309
6,"Santa Rosa-Petaluma, CA",5488,768,6256
7,"Vallejo, CA",5656,181,5837
8,"Seattle-Tacoma-Bellevue, WA",4384,383,4767
9,"Riverside-San Bernardino-Ontario, CA",3047,893,3940
10,"Portland-Vancouver-Hillsboro, OR-WA",3075,91,3166
11,"Phoenix-Mesa-Chandler, AZ",2613,488,3101
12,"Las Vegas-Henderson-Paradise, NV",2715,182,2897
13,"New York-Newark-Jersey City, NY-NJ-PA",2592,121,2713
14,"Austin-Round Rock-Georgetown, TX",2552,61,2613
15,"Modesto, CA",1813,12,1825
16,"Dallas-Fort Worth-Arlington, TX",1717,25,1742
17,"Truckee-Grass Valley, CA",1392,347,1739
18,"Santa Cruz-Watsonville, CA",1653,61,1714
19,"Chicago-Naperville-Elgin, IL-IN-WI",1546,141,1687
20,"Reno, NV",1540,56,1596
21,"Napa, CA",1331,168,1499
22,"Denver-Aurora-Lakewood, CO",1367,47,1414
23,"Houston-The Woodlands-Sugar Land, TX",1250,63,1313
24,"Boston-Cambridge-Newton, MA-NH",1151,105,1256
25,"Miami-Fort Lauderdale-Pompano Beach, FL",1035,48,1083
26,"Washington-Arlington-Alexandria, DC-VA-MD-WV",999,63,1062
27,"Salinas, CA",1022,30,1052
28,"Fresno, CA",1020,12,1032
29,"Urban Honolulu, HI",605,262,867
30,"Santa Maria-Santa Barbara, CA",742,31,773
31,"Boise City, ID",746,0,746
32,"Oxnard-Thousand Oaks-Ventura, CA",682,48,730
33,"Atlanta-Sandy Springs-Alpharetta, GA",717,11,728
34,"San Luis Obispo-Paso Robles, CA",671,42,713
35,"Salt Lake City, UT",559,0,559
36,NO_CBSA,516,0,516
37,"Boulder, CO",453,0,453
38,"Bend, OR",444,0,444
39,"Merced, CA",431,0,431
40,"Minneapolis-St. Paul-Bloomington, MN-WI",360,17,377
41,"Tucson, AZ",359,14,373
42,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",371,0,371
43,"Redding, CA",321,0,321
44,"Chico, CA",321,0,321
45,"Ukiah, CA",225,78,303
46,"Raleigh-Cary, NC",298,0,298
47,"Bakersfield, CA",281,0,281
48,"Detroit-Warren-Dearborn, MI",255,13,268
49,"Sonora, CA",232,0,232
50,"Bridgeport-Stamford-Norwalk, CT",191,11,202
51,"Eugene-Springfield, OR",194,0,194
52,"San Antonio-New Braunfels, TX",170,0,170
53,"Medford, OR",169,0,169
54,"Nashville-Davidson--Murfreesboro--Franklin, TN",161,0,161
55,"Eureka-Arcata, CA",161,0,161
56,"Tampa-St. Petersburg-Clearwater, FL",149,0,149
57,"Orlando-Kissimmee-Sanford, FL",128,0,128
58,"Clearlake, CA",122,0,122
59,"Charlotte-Concord-Gastonia, NC-SC",116,0,116
60,"Cleveland-Elyria, OH",101,11,112
61,"Pittsburgh, PA",109,0,109
62,"Heber, UT",103,0,103
63,"Provo-Orem, UT",100,0,100
64,"Ann Arbor, MI",75,0,75
65,"Visalia, CA",74,0,74
66,"Albuquerque, NM",73,0,73
67,"Santa Fe, NM",64,0,64
68,"Hilo, HI",48,13,61
69,"Durham-Chapel Hill, NC",57,0,57
70,"Columbus, OH",56,0,56
71,"Charleston-North Charleston, SC",55,0,55
72,"St. Louis, MO-IL",53,0,53
73,"Kahului-Wailuku-Lahaina, HI",52,0,52
74,"Gardnerville Ranchos, NV",49,0,49
75,"Bellingham, WA",48,0,48
76,"Bremerton-Silverdale-Port Orchard, WA",47,0,47
77,"Colorado Springs, CO",47,0,47
78,"Madera, CA",43,0,43
79,"Hailey, ID",39,0,39
80,"Madison, WI",39,0,39
81,"Barnstable Town, MA",0,36,36
82,"Yuba City, CA",36,0,36
83,"Milwaukee-Waukesha, WI",36,0,36
84,"Cincinnati, OH-KY-IN",29,0,29
85,"Trenton-Princeton, NJ",29,0,29
86,"Asheville, NC",26,0,26
87,"New Haven-Milford, CT",26,0,26
88,"Baltimore-Columbia-Towson, MD",24,0,24
89,"Kansas City, MO-KS",24,0,24
90,"Bozeman, MT",23,0,23
91,"Fort Collins, CO",23,0,23
92,"Portland-South Portland, ME",11,11,22
93,"Sanford, NC",22,0,22
94,"Salem, OR",18,0,18
95,"New Orleans-Metairie, LA",14,0,14
96,"Glenwood Springs, CO",14,0,14
97,"Grants Pass, OR",14,0,14
98,"Baton Rouge, LA",12,0,12
99,"Worcester, MA-CT",12,0,12
100,"Kapaa, HI",0,12,12
101,"Spokane-Spokane Valley, WA",12,0,12
102,"Coeur d'Alene, ID",12,0,12
103,"Hartford-East Hartford-Middletown, CT",12,0,12
104,"Torrington, CT",0,11,11
105,"Burlington-South Burlington, VT",11,0,11
106,"Lebanon, NH-VT",11,0,11
107,"St. George, UT",11,0,11
108,"Fernley, NV",11,0,11
109,"Hanford-Corcoran, CA",11,0,11
110,"Olympia-Lacey-Tumwater, WA",11,0,11
