YYYYMM_2020,Total Perm_2020,Total Temp_2020,month_2020,YYYYMM_2019,Total Perm_2019,Total Temp_2019,month_2019
2020-01-01,1975090,168647,01,2019-01-01,1983132,172036,01
2020-02-01,1777859,73375,02,2019-02-01,1734041,75610,02
2020-03-01,2317982,220114,03,2019-03-01,2010550,74258,03
2020-04-01,2189642,191331,04,2019-04-01,2061901,141335,04
2020-05-01,2074234,168993,05,2019-05-01,2219756,189554,05
2020-06-01,2230404,148093,06,2019-06-01,2331671,117163,06
2020-07-01,2485062,107234,07,2019-07-01,2464208,95748,07
2020-08-01,2488622,92722,08,2019-08-01,2485327,86750,08
2020-09-01,2203539,94827,09,2019-09-01,2086645,83598,09
2020-10-01,2143886,171761,10,2019-10-01,2093673,174391,10
2020-11-01,1862351,145549,11,2019-11-01,1827189,130676,11
2020-12-01,1868858,163605,12,2019-12-01,1709494,159143,12
