cbsa_name,percentage_increase_perm,percentage_increase_temp,percentage_moves_nearby_cbsa_2019,percentage_moves_nearby_cbsa_2020,percentage_moves_within_cbsa_2019,percentage_moves_within_cbsa_2020,percentage_moves_not_to_cbsa_2019,percentage_moves_not_to_cbsa_2020,percentage_moves_to_top_50_2019,percentage_moves_to_top_50_2020
"New York-Newark-Jersey City, NY-NJ-PA",10.920228685368272,166.9796950952993,3.07,5.11,85.71,78.13,0.63,0.52,8.54,11.4
"Los Angeles-Long Beach-Anaheim, CA",6.293736485958232,62.72939522506464,11.18,12.52,79.01,75.9,0.02,0.02,7.82,8.95
"Chicago-Naperville-Elgin, IL-IN-WI",0.8120147196438958,37.533532612861194,2.8,3.33,87.82,86.34,0.09,0.09,7.28,7.52
"Dallas-Fort Worth-Arlington, TX",6.162824597206172,12.604623355918692,4.56,4.81,91.2,91.51,0.48,0.45,3.36,2.7
"Houston-The Woodlands-Sugar Land, TX",8.499623066512866,17.77426160337553,5.03,5.03,90.5,90.93,0.59,0.54,3.4,2.89
"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.6408411756252423,45.684246226895034,5.42,6.29,87.69,86.85,0.51,0.49,5.64,5.37
"Miami-Fort Lauderdale-Pompano Beach, FL",4.457819270524671,-4.054175128419544,7.19,8.43,78.19,78.77,0.18,0.18,11.89,10.56
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-1.5281552062192563,35.438612846089306,6.67,7.93,89.89,88.12,0.03,0.03,2.66,2.94
"Atlanta-Sandy Springs-Alpharetta, GA",5.735900929919557,9.18885061071093,2.3,2.7,92.84,92.95,0.21,0.2,4.3,3.61
"Boston-Cambridge-Newton, MA-NH",3.4524965664668805,55.218423730730095,8.91,10.85,79.76,77.49,0.59,0.55,7.32,6.81
"Phoenix-Mesa-Chandler, AZ",6.785303056271016,-6.769219875732417,3.77,4.19,78.14,79.07,0.57,0.54,11.08,10.26
"San Francisco-Oakland-Berkeley, CA",22.872388196055233,116.24097507957455,18.97,21.51,72.96,69.31,0.15,0.12,6.97,7.66
"Riverside-San Bernardino-Ontario, CA",-2.6395146054352567,-1.49669152399958,15.35,15.89,75.96,74.37,0.03,0.03,5.64,6.38
"Detroit-Warren-Dearborn, MI",-4.158011747569626,11.372407574391344,4.62,5.13,87.14,86.34,0.68,0.7,4.31,4.31
"Seattle-Tacoma-Bellevue, WA",5.8140619939729605,53.76361655773421,6.81,7.97,82.91,80.52,0.47,0.44,8.06,8.52
"Minneapolis-St. Paul-Bloomington, MN-WI",1.9444690854253526,22.074910300166273,3.14,3.57,89.05,88.95,0.65,0.63,4.84,4.34
"San Diego-Chula Vista-Carlsbad, CA",3.3532856354248977,25.362770408617468,10.29,10.81,77.74,76.9,0.0,0.0,8.64,8.63
"Tampa-St. Petersburg-Clearwater, FL",1.6123610955499648,-13.163436484991257,7.9,8.57,82.91,84.29,0.25,0.25,5.88,4.79
"Denver-Aurora-Lakewood, CO",8.886497914189176,30.133098453709138,6.75,7.41,86.26,86.36,0.12,0.11,6.0,5.41
"St. Louis, MO-IL",1.807286646034511,13.833184314727296,1.55,1.68,95.45,95.16,0.69,0.68,1.85,1.91
"Baltimore-Columbia-Towson, MD",-4.233759094751362,20.133002999087235,8.05,8.58,87.48,87.22,0.21,0.22,2.5,2.18
"Charlotte-Concord-Gastonia, NC-SC",8.498818295565133,23.39023153625148,5.87,6.44,90.3,90.56,0.05,0.05,3.59,2.82
"Orlando-Kissimmee-Sanford, FL",7.116176155694606,4.129746835443038,14.7,15.8,81.06,80.91,0.05,0.05,3.41,2.78
"San Antonio-New Braunfels, TX",7.614485060001294,14.487859784531276,8.15,7.99,88.52,89.15,0.06,0.05,2.53,2.2
"Portland-Vancouver-Hillsboro, OR-WA",6.28053234175354,40.420039892056785,7.45,7.97,86.57,86.02,0.41,0.38,4.88,4.75
"Pittsburgh, PA",-1.6383003357647332,22.035753374680773,3.02,3.22,90.67,90.48,0.31,0.31,4.15,3.97
"Sacramento-Roseville-Folsom, CA",-0.10966035416679219,21.278807832264775,11.73,12.18,83.8,82.79,0.5,0.5,2.5,2.65
"Cincinnati, OH-KY-IN",0.2697351430457115,5.588331694526385,3.51,3.75,94.05,93.87,0.5,0.5,0.87,0.88
"Las Vegas-Henderson-Paradise, NV",7.1431802532179995,12.133182844243793,1.08,1.2,83.65,83.04,0.08,0.07,11.45,11.79
"Kansas City, MO-KS",2.2401816639344783,18.124036979969183,2.49,2.62,94.49,94.72,0.27,0.26,2.32,1.82
"Austin-Round Rock-Georgetown, TX",9.134020511811636,26.375505129002175,9.29,9.59,85.75,85.94,0.88,0.8,4.02,3.3
"San Juan-Bayamón-Caguas, PR",5.654596100278551,inf,0.0,0.0,99.22,97.92,0.0,0.0,0.78,2.08
"Columbus, OH",1.333921219159282,11.82446733455623,5.44,5.58,89.36,89.66,0.03,0.03,3.85,3.41
"Cleveland-Elyria, OH",-1.2109010270774978,13.787913868951145,6.96,7.32,87.81,87.66,0.0,0.0,3.45,3.2
"Indianapolis-Carmel-Anderson, IN",1.386649081262552,2.63984184207466,3.55,3.72,93.22,93.08,0.17,0.17,1.82,1.76
"San Jose-Sunnyvale-Santa Clara, CA",14.35093623668385,60.3954181704064,24.48,25.63,66.83,65.57,0.08,0.07,7.4,7.33
"Nashville-Davidson--Murfreesboro--Franklin, TN",7.716058045864092,27.246376811594203,4.25,4.44,91.21,91.6,0.7,0.64,3.32,2.82
"Virginia Beach-Norfolk-Newport News, VA-NC",1.470575595836664,-5.0664451827242525,1.95,1.96,95.71,96.21,0.04,0.03,2.01,1.57
"Providence-Warwick, RI-MA",-7.832995170462665,8.094692630775105,7.7,8.37,86.37,85.7,0.0,0.0,2.24,2.15
"Milwaukee-Waukesha, WI",-0.8331712377617843,12.683823529411764,7.15,7.82,87.88,87.31,0.17,0.17,3.24,2.89
"Jacksonville, FL",6.728624836792124,4.933697347893916,6.32,6.41,89.99,90.51,0.32,0.3,2.69,2.18
"Oklahoma City, OK",10.045052380176953,20.409683426443202,3.17,3.37,93.41,93.25,0.71,0.64,3.01,2.5
"Memphis, TN-MS-AR",3.282431853860425,6.205724001133466,1.84,1.87,94.53,94.76,0.45,0.44,3.09,2.88
"Raleigh-Cary, NC",8.06576980568012,22.107369123041014,14.43,15.39,80.74,81.1,0.0,0.0,4.56,3.18
"Richmond, VA",1.2817442813031699,2.0,2.0,1.86,97.0,97.26,0.33,0.33,0.77,0.5
"New Orleans-Metairie, LA",6.330637693684796,42.71087274500244,4.02,4.49,92.02,91.56,0.0,0.0,2.99,2.9
"Louisville/Jefferson County, KY-IN",-0.3129924468836603,3.9186800235710075,3.9,4.03,93.19,93.29,0.4,0.4,1.9,1.47
"Hartford-East Hartford-Middletown, CT",-3.511054927622447,8.032060027285128,8.93,9.74,81.71,81.73,0.02,0.02,4.9,4.16
"Salt Lake City, UT",8.086681912229118,17.114372749930766,13.28,14.37,79.41,79.15,0.48,0.45,5.83,4.93
"Buffalo-Cheektowaga, NY",-9.460663696216,2.4976500604270173,3.43,3.65,88.98,88.84,0.41,0.45,3.83,3.58
